[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度]
橫嶺山步道,橫嶺山隧道口,4.6,大雪山社區,2.0,TC084,46,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242161,2681046,24.23495555,120.9228148
橫嶺山步道,橫嶺山隧道口,4.7,大雪山社區,1.9,TC084,47,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242115,2681130,24.23571447,120.922355
橫嶺山步道,橫嶺山隧道口,4.8,大雪山社區,1.8,TC084,48,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),242017,2681148,24.23586952,120.9213966
橫嶺山步道,橫嶺山隧道口,4.9,大雪山社區,1.7,TC084,49,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241925,2681179,24.23615304,120.9204865
橫嶺山步道,橫嶺山隧道口,5.0,大雪山社區,1.6,TC084,50,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241829,2681174,24.23611041,120.9195421
橫嶺山步道,橫嶺山隧道口,5.1,大雪山社區,1.5,TC084,51,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241755,2681226,24.2365784,120.9188116
橫嶺山步道,橫嶺山隧道口,5.2,大雪山社區,1.4,TC084,52,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241695,2681292,24.23717236,120.9182183
橫嶺山步道,橫嶺山隧道口,5.3,大雪山社區,1.3,TC084,53,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241601,2681310,24.23733489,120.9172986
橫嶺山步道,橫嶺山隧道口,5.4,大雪山社區,1.2,TC084,54,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241529,2681367,24.23784541,120.9165876
橫嶺山步道,橫嶺山隧道口,5.5,大雪山社區,1.1,TC084,55,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241437,2681400,24.23814844,120.9156827
橫嶺山步道,橫嶺山隧道口,5.6,大雪山社區,1.0,TC084,56,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241344,2681381,24.23797221,120.9147689
橫嶺山步道,橫嶺山隧道口,5.7,大雪山社區,0.9,TC084,57,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241250,2681367,24.23784163,120.9138344
橫嶺山步道,橫嶺山隧道口,5.8,大雪山社區,0.8,TC084,58,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241157,2681380,24.23796387,120.9129186
橫嶺山步道,橫嶺山隧道口,5.9,大雪山社區,0.7,TC084,59,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241182,2681334,24.23755201,120.9131675
橫嶺山步道,橫嶺山隧道口,6.0,大雪山社區,0.6,TC084,60,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241109,2681375,24.23791363,120.9124545
橫嶺山步道,橫嶺山隧道口,6.1,大雪山社區,0.5,TC084,61,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241034,2681408,24.23821886,120.9117136
橫嶺山步道,橫嶺山隧道口,6.2,大雪山社區,0.4,TC084,62,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),240978,2681386,24.23801795,120.9111651
橫嶺山步道,橫嶺山隧道口,6.3,大雪山社區,0.3,TC084,63,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),240945,2681345,24.23764712,120.9108342
橫嶺山步道,橫嶺山隧道口,6.4,大雪山社區,0.2,TC084,64,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),240934,2681435,24.23845577,120.9107255
橫嶺山步道,橫嶺山隧道口,6.5,大雪山社區,0.1,TC084,65,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241011,2681497,24.23901727,120.9114855
橫嶺山步道,橫嶺山隧道口,6.6,大雪山社區,0.0,TC084,66,橫嶺山隧道口(0.0)⇨橫嶺山主峰岔路(1.0),➡大雪山社區(6.6),241022,2681530,24.239319,120.911595
橫嶺山步道,大雪山社區,0.0,橫嶺山隧道口,6.6,TC084,66,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241022,2681530,24.239319,120.911595
橫嶺山步道,大雪山社區,0.1,橫嶺山隧道口,6.5,TC084,65,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241011,2681497,24.23901727,120.9114855
橫嶺山步道,大雪山社區,0.2,橫嶺山隧道口,6.4,TC084,64,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),240934,2681435,24.23845577,120.9107255
橫嶺山步道,大雪山社區,0.3,橫嶺山隧道口,6.3,TC084,63,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),240945,2681345,24.23764712,120.9108342
橫嶺山步道,大雪山社區,0.4,橫嶺山隧道口,6.2,TC084,62,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),240978,2681386,24.23801795,120.9111651
橫嶺山步道,大雪山社區,0.5,橫嶺山隧道口,6.1,TC084,61,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241034,2681408,24.23821886,120.9117136
橫嶺山步道,大雪山社區,0.6,橫嶺山隧道口,6.0,TC084,60,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241109,2681375,24.23791363,120.9124545
橫嶺山步道,大雪山社區,0.7,橫嶺山隧道口,5.9,TC084,59,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241182,2681334,24.23755201,120.9131675
橫嶺山步道,大雪山社區,0.8,橫嶺山隧道口,5.8,TC084,58,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241157,2681380,24.23796387,120.9129186
橫嶺山步道,大雪山社區,0.9,橫嶺山隧道口,5.7,TC084,57,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241250,2681367,24.23784163,120.9138344
橫嶺山步道,大雪山社區,1.0,橫嶺山隧道口,5.6,TC084,56,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241344,2681381,24.23797221,120.9147689
橫嶺山步道,大雪山社區,1.1,橫嶺山隧道口,5.5,TC084,55,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241437,2681400,24.23814844,120.9156827
橫嶺山步道,大雪山社區,1.2,橫嶺山隧道口,5.4,TC084,54,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241529,2681367,24.23784541,120.9165876
橫嶺山步道,大雪山社區,1.3,橫嶺山隧道口,5.3,TC084,53,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241601,2681310,24.23733489,120.9172986
橫嶺山步道,大雪山社區,1.4,橫嶺山隧道口,5.2,TC084,52,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241695,2681292,24.23717236,120.9182183
橫嶺山步道,大雪山社區,1.5,橫嶺山隧道口,5.1,TC084,51,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241755,2681226,24.2365784,120.9188116
橫嶺山步道,大雪山社區,1.6,橫嶺山隧道口,5.0,TC084,50,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241829,2681174,24.23611041,120.9195421
橫嶺山步道,大雪山社區,1.7,橫嶺山隧道口,4.9,TC084,49,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),241925,2681179,24.23615304,120.9204865
橫嶺山步道,大雪山社區,1.8,橫嶺山隧道口,4.8,TC084,48,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242017,2681148,24.23586952,120.9213966
橫嶺山步道,大雪山社區,1.9,橫嶺山隧道口,4.7,TC084,47,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242115,2681130,24.23571447,120.922355
橫嶺山步道,大雪山社區,2.0,橫嶺山隧道口,4.6,TC084,46,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242161,2681046,24.23495555,120.9228148
橫嶺山步道,大雪山社區,2.1,橫嶺山隧道口,4.5,TC084,45,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242231,2680980,24.23435949,120.9235044
橫嶺山步道,大雪山社區,2.2,橫嶺山隧道口,4.4,TC084,44,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242311,2680926,24.23386722,120.9242862
橫嶺山步道,大雪山社區,2.3,橫嶺山隧道口,4.3,TC084,43,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242407,2680916,24.23378104,120.9252297
橫嶺山步道,大雪山社區,2.4,橫嶺山隧道口,4.2,TC084,42,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242487,2680874,24.23340285,120.9260245
橫嶺山步道,大雪山社區,2.5,橫嶺山隧道口,4.1,TC084,41,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242580,2680860,24.23327223,120.9269387
橫嶺山步道,大雪山社區,2.6,橫嶺山隧道口,4.0,TC084,40,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242651,2680797,24.23271076,120.9276324
橫嶺山步道,大雪山社區,2.7,橫嶺山隧道口,3.9,TC084,39,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242705,2680722,24.23202948,120.9281674
橫嶺山步道,大雪山社區,2.8,橫嶺山隧道口,3.8,TC084,38,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242790,2680707,24.23189134,120.9290112
橫嶺山步道,大雪山社區,2.9,橫嶺山隧道口,3.7,TC084,37,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242869,2680655,24.23142411,120.9297879
橫嶺山步道,大雪山社區,3.0,橫嶺山隧道口,3.6,TC084,36,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),242961,2680678,24.2316364,120.9306862
橫嶺山步道,大雪山社區,3.1,橫嶺山隧道口,3.5,TC084,35,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243034,2680744,24.23222633,120.9314081
橫嶺山步道,大雪山社區,3.2,橫嶺山隧道口,3.4,TC084,34,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243110,2680800,24.23273834,120.9321529
橫嶺山步道,大雪山社區,3.3,橫嶺山隧道口,3.3,TC084,33,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243196,2680839,24.23308451,120.9330033
橫嶺山步道,大雪山社區,3.4,橫嶺山隧道口,3.2,TC084,32,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243275,2680883,24.23348983,120.9337763
橫嶺山步道,大雪山社區,3.5,橫嶺山隧道口,3.1,TC084,31,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243293,2680976,24.23432192,120.9339567
橫嶺山步道,大雪山社區,3.6,橫嶺山隧道口,3.0,TC084,30,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243386,2681004,24.23457813,120.9348757
橫嶺山步道,大雪山社區,3.7,橫嶺山隧道口,2.9,TC084,29,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243486,2680996,24.23450668,120.9358566
橫嶺山步道,大雪山社區,3.8,橫嶺山隧道口,2.8,TC084,28,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243563,2680940,24.23400354,120.9366153
橫嶺山步道,大雪山社區,3.9,橫嶺山隧道口,2.7,TC084,27,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243583,2680890,24.23355144,120.9368114
橫嶺山步道,大雪山社區,4.0,橫嶺山隧道口,2.6,TC084,26,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243506,2680951,24.23410033,120.9360594
橫嶺山步道,大雪山社區,4.1,橫嶺山隧道口,2.5,TC084,25,大雪山社區(6.6)➡橫嶺山主峰岔路(1.0),⇨橫嶺山隧道口(0.0),243412,2680971,24.2342811,120.9351268
