[路線名稱],[起點],[D1],[終點],[D2],[路線],[編碼],[分段第一行],[分段第二行],[X坐標],[Y坐標],[緯度],[經度],[D3]
西巒大山,登山口,5.5,西巒大山,1.0,XL100,55,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244063,2621583,23.698037,120.941781,6.5
西巒大山,登山口,5.6,西巒大山,0.9,XL100,56,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244129,2621526,23.697516,120.942429,6.5
西巒大山,登山口,5.7,西巒大山,0.8,XL100,57,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244201,2621474,23.697049,120.943134,6.5
西巒大山,登山口,5.8,西巒大山,0.7,XL100,58,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244250,2621402,23.696398,120.943618,6.5
西巒大山,登山口,5.9,西巒大山,0.6,XL100,59,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244286,2621332,23.695763,120.943969,6.5
西巒大山,登山口,6.0,西巒大山,0.5,XL100,60,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244352,2621299,23.695470,120.944613,6.5
西巒大山,登山口,6.1,西巒大山,0.4,XL100,61,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244393,2621248,23.695012,120.945022,6.5
西巒大山,登山口,6.2,西巒大山,0.3,XL100,62,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244431,2621195,23.694528,120.945395,6.5
西巒大山,登山口,6.3,西巒大山,0.2,XL100,63,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244490,2621158,23.694196,120.945966,6.5
西巒大山,登山口,6.4,西巒大山,0.1,XL100,64,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244554,2621139,23.694026,120.946596,6.5
西巒大山,登山口,6.5,西巒大山,0.0,XL100,65,登山口(0.0)⇨林道叉路(1.68),⇨倒塌瞭望台(3.85)➡西巒大山(6.5),244624,2621137,23.694005,120.947286,6.5
西巒大山,西巒大山,6.5,登山口,0.0,XL100,00,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),240494,2623129,23.711972,120.906773,6.5
西巒大山,西巒大山,6.4,登山口,0.1,XL100,01,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),240577,2623108,23.711791,120.907590,6.5
西巒大山,西巒大山,6.3,登山口,0.2,XL100,02,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),240640,2623036,23.711133,120.908210,6.5
西巒大山,西巒大山,6.2,登山口,0.3,XL100,03,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),240681,2622948,23.710346,120.908605,6.5
西巒大山,西巒大山,6.1,登山口,0.4,XL100,04,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),240732,2622893,23.709844,120.909111,6.5
西巒大山,西巒大山,6.0,登山口,0.5,XL100,05,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),240825,2622881,23.709736,120.910021,6.5
西巒大山,西巒大山,5.9,登山口,0.6,XL100,06,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),240878,2622812,23.709113,120.910543,6.5
西巒大山,西巒大山,5.8,登山口,0.7,XL100,07,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),240963,2622799,23.708995,120.911379,6.5
西巒大山,西巒大山,5.7,登山口,0.8,XL100,08,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),240973,2622704,23.708145,120.911473,6.5
西巒大山,西巒大山,5.6,登山口,0.9,XL100,09,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),241061,2622671,23.707848,120.912334,6.5
西巒大山,西巒大山,5.5,登山口,1.0,XL100,10,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),241145,2622625,23.707430,120.913156,6.5
西巒大山,西巒大山,5.4,登山口,1.1,XL100,11,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),241214,2622582,23.707041,120.913833,6.5
西巒大山,西巒大山,5.3,登山口,1.2,XL100,12,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),241299,2622560,23.706845,120.914670,6.5
西巒大山,西巒大山,5.2,登山口,1.3,XL100,13,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),241379,2622517,23.706456,120.915457,6.5
西巒大山,西巒大山,5.1,登山口,1.4,XL100,14,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),241461,2622477,23.706098,120.916260,6.5
西巒大山,西巒大山,5.0,登山口,1.5,XL100,15,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),241551,2622457,23.705913,120.917140,6.5
西巒大山,西巒大山,4.9,登山口,1.6,XL100,16,西巒大山(6.5)⇨倒塌瞭望台(3.85),林道叉路(1.68)➡登山口(0.0),241666,2622450,23.705855,120.918269,6.5
